City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
150,steinbach,DE,73.33,few clouds,50.1667,8.5667,Mercure Hotel Frankfurt Eschborn Helfmann Park
151,bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
152,xuanzhou,CN,70.34,broken clouds,30.9525,118.7553,Nanfang Hotel
153,cetariu,RO,72.75,clear sky,47.1333,22.0167,Căsuța pădurarului
154,huarmey,PE,66.4,scattered clouds,-10.0681,-78.1522,Hotel Miramar
155,touros,BR,83.28,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
157,olafsvik,IS,44.55,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
159,rocha,UY,63.09,clear sky,-34.4833,-54.3333,Hotel Arrarte
160,chuy,UY,62.22,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
161,palmas,BR,85.87,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
163,zima,RU,39.81,overcast clouds,53.9202,102.0442,"""Na Uglu"""
164,kampen,NL,63.18,few clouds,52.555,5.9111,Hotel Van Dijk
165,troitsko-pechorsk,RU,58.75,broken clouds,62.7084,56.1964,Pechora Gostinitsa
166,la asuncion,VE,80.38,few clouds,11.0333,-63.8628,Colinas de Matasiete
167,marfino,RU,67.91,clear sky,55.7028,37.3822,Nemchinovka-Park
169,marsh harbour,BS,79.09,clear sky,26.5412,-77.0636,Abaco Beach Resort
172,tura,IN,77.34,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
174,caravelas,BR,80.33,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
